key	file	bytes	chars	tokens	jp
a6ed0d1aa4	/NT20.MAP	24	11	%b	謹んで拝命するように。%b
07072f5040	/NT20.MAP	14	6	%b	処刑・・・。%b
0f0a41e6d8	/NT20.MAP	73	35	%b	・・・お互い、不快な事態に至らぬよう、\n明日の朝までおとなしく願いたい。%b
32490a607c	/NT20.MAP	51	24	%b	到着の報告をせねばなりませんので、\n失礼しますよ。%b
945fd358df	/NT20.MAP	47	22	%b	報告を終えたら、\nまた様子を見に参りますので。%b
a1451d684e	/NT20.MAP	68	20	%H %m1 %V100 %m0 %s0 %V0 %b	%H%m1%V100［%m0%s0%m1］%V0%m0\nこんなところで・・・散るのか・・・。%b
e82630f126	/NT20.MAP	43	20	%b	なな・・・・は・・・き・・・\nおか・・・・%b
3e66fa081d	/NT20.MAP	25	11	%b	あれ？\n誰かいる・・・？%b
5588e59273	/NT20.MAP	94	45	%b	７人委員会は、絶対不可侵の禁を侵して、\nアレクトリア大図書館の\n自治独立を脅かしてきた・・・。%b
c878827114	/NT20.MAP	102	49	%b	ということは、アレクトリア大図書館の\n「古代魔法文明」に関する文献を狙ったと\n考えるのが妥当ですわね。%b
be7359070a	/NT20.MAP	59	28	%b	きっと彼らはそこから\n何か得たい情報があるのですわ・・・。%b
1dfcc4cae0	/NT20.MAP	37	17	%b	そうですわ！\nそうに違いないですわ！%b
887d33cd70	/NT20.MAP	38	18	%b	彼女は自分の世界に入っているようだ。%b
c4879de84d	/NT20.MAP	18	8	%b	もしもし・・・？%b
c851500df2	/NT20.MAP	51	24	%b	やはり、どう考えましても、\nアレクトリア大図書館の%b
e4b3aa5420	/NT20.MAP	71	34	%b	古代魔法文明に関する文献の中に、\n何か得たい情報があるのですわ・・・。%b
1f1729e6be	/NT20.MAP	37	17	%b	居心地はどうですかな？\nミュウ王女。%b
f73f0ca6e8	/NT20.MAP	14	6	%b	ガルザード！%b
35c3162544	/NT20.MAP	65	31	%b	キサマらの目的は何だ！？\nどうしてボク達の国を襲ったりしたんだ！%b
4118d81d95	/NT20.MAP	71	34	%b	・・・そういった、余計な好奇心は、\nおのが身を滅ぼす原因となりますよ。%b
1d40ecf992	/NT20.MAP	20	9	%b	・・・ミュウ王女。%b
fa37e77e70	/NT20.MAP	36	17	%b	しかし、貴殿の命も明朝まで・・・。%b
6adb692b38	/NT20.MAP	94	45	%b	いずれ死する身なれば、\n少々、その好奇心をみたしてあげても\n７人委員会はお許し下さいましょう。%b
d4d9402424	/NT20.MAP	96	46	%b	己の利益と欲望のため、\nこの美しい世界を浸食していく者達を\n委員会は許しておけなかったのですよ。%b
170d30cb81	/NT20.MAP	80	38	%b	我らの目的は、より良い時代の到来を\nより優秀な者の手で\nきずくことにあるのです。%b
c2aacd5064	/NT20.MAP	76	36	%b	リグロードやヤマタイを\n侵略した口実としては、\nずいぶんお粗末じゃないか！？%b
4ae3b620c4	/NT20.MAP	53	25	%b	きたるべき時代を切り開く、\n優秀な者を選ぶためです。%b
42ede8cefe	/NT20.MAP	32	15	%b	多少の流血はやむをえませんよ。%b
081dd1afd6	/NT20.MAP	88	42	%b	もっとも、ヤマタイとリグロードには、\n生き残るに値する優れた人々は\nいませんでしたがね。%b
4db366f47c	/NT20.MAP	18	8	%b	言わせておけば！%b
94eee1532c	/NT20.MAP	36	17	%b	すべては「大事の前の小事」ですよ。%b
14d758dabb	/NT20.MAP	10	4	%b	ふふふ。%b
75db196f18	/NT20.MAP	45	21	%b	これは、\n７人委員会を統べる長の口癖ですが。%b
a74867227c	/NT20.MAP	74	35	%b	偉大なる計画のためには、\n多少のギセイはつきものだと、\n歴史にはあります。%b
dc1fa8fd71	/NT20.MAP	34	16	%b	お前達の思い通りにはさせないゾ！%b
c93c63ed0f	/NT20.MAP	59	28	%b	７人委員会が何を企もうと、\n必ず、この手で叩き潰してやる！%b
5a69c9b85c	/NT20.MAP	30	14	%b	負け犬の遠吠え・・・ですか。%b
32e40d0bd7	/NT20.MAP	67	32	%b	まぁ、それも、明日までのこと。\nせいぜい吠えておくがいいでしょう。%b
dae79c4144	/NT20.MAP	24	11	%b	ま、待って下さいまし！%b
fb9744a676	/NT20.MAP	53	25	%b	アレクトリア大図書館\n武闘司書官アンジュ殿か・・・。%b
fd2500e43e	/NT20.MAP	63	30	%b	父上はアレクトリア大図書館館長の\n要職にあるというのに・・・。%b
707995698d	/NT20.MAP	88	42	%b	７人委員会への反対運動を行う\nレジスタンスに荷担するとは、\n軽率なことをしたものですな。%b
cbaf046ea3	/NT20.MAP	108	52	%b	アレクトリア大図書館がカダールで唯一\n自治独立を認められているのは、\n不穏分子を育てるためではありませぬぞ。%b
43fc905513	/NT20.MAP	57	27	%b	刑が定まるまで、自分の行いを\nこの中で反省するのですな。%b
5aac400b4f	/NT20.MAP	73	35	%b	わたくし、この暗くて冷たい牢の中で\n自分のしたことを反省いたしましたわ。%b
12ae91f08f	/NT20.MAP	49	23	%b	ここを出たあかつきには、\nわたくしの仲間達にも、%b
b98910896b	/NT20.MAP	61	29	%b	反体制運動を止めるよう、\n説いてまわりたいと思っていますの。%b
c099384afa	/NT20.MAP	92	44	%b	けれど、活動仲間を説得するためには、\n７人委員会様の目的を\n詳しく知らなければなりませんわ。%b
08c231a99d	/NT20.MAP	30	14	%b	・・・なるほど・・・それで？%b
1c5c1cf3dc	/NT20.MAP	57	27	%b	７人委員会様の目的とは、\nずばり、歴史の中に埋もれていた%b
22e98b10a1	/NT20.MAP	59	28	%b	古代魔法技術の復活と\nその利用による世界征服にあるのでは？%b
5c81a1d5ba	/NT20.MAP	57	27	%b	・・・その件に関して、\n申し上げられることはありません。%b
07944e63d4	/NT20.MAP	84	40	%b	アレクトリア大図書館館長の娘である\nこのわたくしにも、\n明かしてはいただけませんの？%b
690d80c740	/NT20.MAP	65	31	%b	その前にあなたは委員会への\n反対運動をしていたではありませんか。%b
7c4460100e	/NT20.MAP	53	25	%b	改心したと言われても、\nにわかには信じられませんな。%b
ada501d64f	/NT20.MAP	14	6	%b	うふふふふ。%b
05383b31fb	/NT20.MAP	73	35	%b	やはり、思った通りでしたわ。\nついに、７人委員会の尻尾を掴みましたわよ！%b
e66dc302e3	/NT20.MAP	14	6	%b	あの・・・。%b
cff67809b5	/NT20.MAP	45	21	%b	まぁ、あなた、\nいつの間にいらしたんですの？%b
11bf9c6a53	/NT20.MAP	34	16	%b	さっきからいたんですケド・・・。%b
69fb120646	/NT20.MAP	61	29	%b	まぁ、そうでしたの、\n全然気付きませんでしたわ、ほほほほっ☆%b
104fa6044e	/NT20.MAP	75	36	%b	わたくし、アレクトリア大図書館で、\n武闘司書官を務めるアンジュと申します。%b
6551d0d782	/NT20.MAP	12	5	%b	あなたは？%b
72fd502710	/NT20.MAP	34	16	%b	ドラグーン王国の竜騎士、ミュウ。%b
7e564bf063	/NT20.MAP	26	12	%b	まぁ、ドラグーン王国の？%b
5d17387335	/NT20.MAP	30	14	%b	ドラグーン王国を知ってるの？%b
7d46a3540a	/NT20.MAP	59	28	%b	アレクトリア大図書館は知識の殿堂、\n学者の社交場ですわよ。%b
0b7e2b3125	/NT20.MAP	61	29	%b	リグロード大陸の主だった王家ぐらい、\n知っていて当然ですわ。%b
18c350b736	/NT20.MAP	22	10	%b	へぇ、そうなんだァ。%b
cc01cea251	/NT20.MAP	71	34	%b	それで、さっきから話に出ている\nアレクトリア大図書館って、一体何なの？%b
e6235f4de3	/NT20.MAP	69	33	%b	・・・ま、まぁ、リグロードの方が、\nご存知ないのも無理はないですわ。%b
e849d06fde	/NT20.MAP	92	44	%b	アレクトリア大図書館は、\nカダール建国当初より自治独立を\n認められている唯一の場所ですのよ。%b
023585b1cd	/NT20.MAP	47	22	%b	全世界の書物が収められた\nまさに、知識の殿堂！%b
fda8b23c10	/NT20.MAP	38	18	%b	それが、アレクトリア大図書館ですわ！%b
ececefa9b5	/NT20.MAP	59	28	%b	ちなみに、わたくしの父が、\nそこの館長を務めていますのよ。%b
93f03920fe	/NT20.MAP	73	35	%b	もっとも、父・・・いえ館長は、\n７人委員会に頭があがらないようですけど。%b
8ff5dced95	/NT20.MAP	59	28	%b	ふゥ～ん・・・。\nじゃ、どうしてアンジュは捕まっているの？%b
6c7efc1a4e	/NT20.MAP	63	30	%b	さっきの話からすると、\n７人委員会に反対しているみたいだけど。%b
d0aa6e9610	/NT20.MAP	57	27	%b	７人委員会の行動は、\n全世界に混乱と破壊をもたらすもの。%b
9a3393b53d	/NT20.MAP	30	14	%b	絶対に阻止せねばなりません。%b
6dbb5db15f	/NT20.MAP	88	42	%b	わたくしがこのような\n汚らしい場所に入り込んだのも、\n全ては７人委員会の行動を探るため。%b
976b6a115a	/NT20.MAP	57	27	%b	委員会の目的が、\n古代魔法文明時代の失われた技術の復活と%b
6267705219	/NT20.MAP	73	35	%b	その利用にある、と知った以上、\nいつまでもこんな場所に用はありませんわ。%b
1de61c3c8f	/NT20.MAP	10	4	%b	そうだ！%b
cb4b377841	/NT20.MAP	43	20	%b	じゃあ、ここを逃げ出すために\n協力しない？%b
cf8b544309	/NT20.MAP	53	25	%b	わたくし、こう見えても\n司書武闘法の使い手ですのよ！%b
52b6bcab0f	/NT20.MAP	20	9	%b	助力は無用ですわ！%b
fbeeededd5	/NT20.MAP	90	43	%b	・・・と言いたいところですけれど、\nドラグーン竜騎士の力が\n借りられるとなれば別ですわね。%b
4bd2025951	/NT20.MAP	16	7	%b	いいでしょう。%b
c217d1f516	/NT20.MAP	69	33	%b	この塔を脱出するまで、お互いに助け合う、\nということで参りましょう。%b
ed8287c925	/NT20.MAP	8	3	%b	うん！%b
2d448bd1a7	/NT20.MAP	57	27	%b	では、この不潔な場所から\n退出することにいたしましょう。%b
28e6e776f5	/NT20.MAP	26	12	%b	アン・ドゥ・トロワ～ッ！%b
e115744983	/NT20.MAP	47	22	%b	あら、\n少し気合いが足りなかったようですわね。%b
6ecb941b8b	/NT20.MAP	16	7	%b	どっこいしょ、%b
77771896fb	/NT20.MAP	25	11	%b	で、\nございますわ～ッ！%b
ee95be50bd	/NT20.MAP	20	9	%b	ほ、ほほ、ほほほ。%b
95d4e448e7	/NT20.MAP	41	19	%b	仕方ありませんわ、\n本気をだしましょう。%b
210bf91543	/NT20.MAP	28	13	%b	きてはアアアァァァァ～ッ！%b
0b2cf74df8	/NT20.MAP	28	13	%b	ざっと、こんなものですわ。%b
1da385600f	/NT20.MAP	41	19	%b	司書武闘法って・・・\nす、すごいんだね。%b
59f1007480	/NT20.MAP	24	11	%b	淑女のたしなみですわ。%b
835c10f273	/NT20.MAP	31	4	%H %m1 %V100 %m0 %V0	%H%m1%V100［%m0町人%m1］%V0%m0\n
7ce1375431	/NT20.MAP	36	17	%b	俺は港町ポポロンで、捕まったんだ。%b
010ffc4a45	/NT20.MAP	67	32	%b	７人委員会に対する反対運動をしていたから\nっていうのが理由なんだ。%b
75c965dae4	/NT20.MAP	86	41	%b	けど、俺は友達をかくまっただけで、\n７人委員会に反対する運動なんか\nしちゃいないんだ。%b
c7b086bdb4	/NT20.MAP	40	19	%b	正義はどこにいっちまったのかね・・・。%b
5e14cb8688	/NT20.MAP	21	10		ひどい、ひどいわっ！\n
3e2359a753	/NT20.MAP	34	16	%b	デバックモードを使うなんて・・・%b
e4b2565cc6	/NT20.MAP	36	17	%b	そんなあなたには餓鬼玉をあげるね。%b
e1c9250bf9	/NT30.MAP	28	13	%b	ガルザードォォォォッッ！！%b
d79692af79	/NT30.MAP	35	16	%b	おひさしぶりですな、\nミュウ王女。%b
d32ffc972b	/NT30.MAP	65	31	%b	沢山の罪もない人々を傷つけた代償を、\n今ここで支払ってもらうッ！%b
a204b9d454	/NT30.MAP	49	23	%b	私にいわせれば、\n弱いということは、それだけで、%b
76b00ed425	/NT30.MAP	47	22	%b	強い者に虐げられても\n文句はいえないのですよ。%b
e9293c2876	/NT30.MAP	53	25	%b	人の命の重さを考えたことはないのか！\nガルザードッ！%b
86c690a856	/NT30.MAP	55	26	%b	命なぞ、長い歴史の中に\n束の間浮かんだ泡に過ぎません。%b
1b6b306f40	/NT30.MAP	65	31	%b	いずれは消えていくもの・・・\n遅いか早いか、それだけのことです。%b
ebaaf6b58c	/NT30.MAP	51	24	%b	だからって、それを決定する権利は、\n誰にもない！！%b
5b64188ef2	/NT30.MAP	51	24	%b	力を持たぬ正義から生まれる\n理想論に過ぎませんな。%b
529292e514	/NT30.MAP	51	24	%b	理想に近付こうとするからこそ、\n人は進歩するんだ！%b
dc4ba9bd92	/NT30.MAP	45	21	%b	議論したところで、\n結局は、時間の無駄です。%b
725ba3b278	/NT30.MAP	63	30	%b	魔導王国カダールの未来のために、\n消えてもらわねばなりません！%b
3685d01e4b	/NT30.MAP	68	32	%b	ヤマタイで戦った時は\n手加減をしましたが、\n今回は全力で行きますよ！%b
a2b0300377	/NT30.MAP	34	16	%b	あいつを倒すことだけを考えよう。%b
614de8d27a	/NT30.MAP	36	17	%b	ふふふ、わたしの負けですか・・・。%b
d1e32f4890	/NT30.MAP	59	28	%b	しかし、あなた方には、\nまだ楽をさせるわけにはいきません。%b
cbc710db48	/NT30.MAP	26	12	%b	ふふふ、知っていますか？%b
b39ac105fa	/NT30.MAP	80	38	%b	このゲートキーは、\n魔法の転移装置カオスゲートを\n作動させるための道具なのです。%b
5c83bd5dd9	/NT30.MAP	65	31	%b	カオスゲートが使えないとなれば、\nあなた達の足もにぶるでしょう。%b
7ea8bd87b9	/NT30.MAP	57	27	%b	だから・・・ゲートキーは\nあなたがたの手には渡せません。%b
08376c2ea0	/NT30.MAP	24	11	%b	何をする、やめるんだ！%b
31ec015368	/NT30.MAP	32	15	%b	・・・こわしてしまいましょう。%b
8f16f6dac5	/NT30.MAP	41	19	%b	ゲートキーは、\nこなごなにくだけちった。%b
5edbfd6744	/NT30.MAP	71	34	%b	７人委員会は何を企んでるんだ！\n古代魔法文明で何をしようって言うんだ！%b
c4835caf9b	/NT30.MAP	26	12	%b	教えてさしあげましょう。%b
f9d7490ba1	/NT30.MAP	57	27	%b	我らは、古代魔法文明の謎を\nひも解こうとしているのです。%b
35b47a4326	/NT30.MAP	22	10	%b	なぜそんな事をする！%b
53b671f0a3	/NT30.MAP	36	17	%b	愚かな人類を粛正せんがため・・・。%b
381b549f4d	/NT30.MAP	98	47	%b	そして、知性と肉体の調和の元、\n７人委員会が統治する完全なる世界を、\n地上に実現せんがため・・・。%b
4fea38060f	/NT30.MAP	36	17	%b	その世界で何をするつもりですの！？%b
81ed6a68cd	/NT30.MAP	38	18	%b	・・・第２の魔法文明を築くのですよ。%b
e5c59ab716	/NT30.MAP	69	33	%b	７人委員会は、今よりはるかにすばらしく、\n豊かな世界を築くでしょう。%b
69c17a6dc1	/NT30.MAP	63	30	%b	しかし、我らがこの覇を世に成さねば、\n人類の進歩はあり得ない！%b
e70651ac7e	/NT30.MAP	34	16	%b	そんな・・・ことのために・・・？%b
9dcac879a2	/NT30.MAP	61	29	%b	そんなことのために、\n罪もない人々を傷つけたというのかッ！！%b
ed62b8cc11	/NT30.MAP	53	25	%b	偉大なる目的のためには、\n多少の犠牲はつきものです。%b
3e59ec8668	/NT30.MAP	42	20	%b	再生のために、破壊は必要不可欠なのです。%b
ba690b799c	/NT30.MAP	42	20	%b	ポポロン・・・でしたね、その街の名前は。%b
fbd3613b3a	/NT30.MAP	63	30	%b	きたるべき世界にふさわしくない\nゴミ溜めのような街でしたから、%b
d1b60275f3	/NT30.MAP	30	14	%b	粛正させていただきましたよ。%b
68b5551aad	/NT30.MAP	16	7	%b	なんですって！%b
6b79bd7621	/NT30.MAP	77	37	%b	７人委員会に反抗するレジスタンスや\nそれを支援する愚かな人々を粛正するのも、%b
ffa5e956f9	/NT30.MAP	53	25	%b	新たな時代の幕開けには\n必要なことだと思いませんか？%b
ea83d484ab	/NT30.MAP	78	37	%b	許さないぞ、ガルザード！\nお前達は自分たちの力を使うことに\n酔っているだけだ！%b
6ef0526792	/NT30.MAP	34	16	%b	それが・・・どうだというのです？%b
b78a8debf5	/NT30.MAP	69	33	%b	力を持った者が、全てを定める事でのみ\n正義や、歴史が生まれるのです。%b
29280d764a	/NT30.MAP	61	29	%b	言い換えれば、力を持たぬ者は\nそれだけで悪なのですよ・・・。%b
cec2e678aa	/NT30.MAP	20	9	%b	だが、我々は違う。%b
264c2fdf66	/NT30.MAP	74	35	%b	７人委員会こそ、\n古代魔法文明以上の知識と\n技術を持つにふさわしいのです。%b
3375d29a6f	/NT30.MAP	30	14	%b	そして・・・もうすぐ・・・。%b
7f82e3b157	/NT30.MAP	78	37	%b	７人委員会はリグロードで、\n全人類を大粛正する最終段階に\n入るでしょう・・・。%b
9ab43c58e7	/NT30.MAP	30	14	%b	そんなこと、絶対に許さない！%b
daf6198a1e	/NT30.MAP	49	23	%b	もし、あなた方の理想が\n真に正しいのなら・・・。%b
ca77179d48	/NT30.MAP	57	27	%b	あなた達が何を成すか、\n見届けてみたいものですが・・・。%b
acc86b44d5	/NT30.MAP	10	4	%b	ぐふっ！%b
6a26a483f5	/NT30.MAP	55	26	%b	私には・・・もう・・・\n時間が・・・ありませ・・・ん。%b
4778f49eb2	/NT30.MAP	16	7	%b	ミュウ・・・。%b
af367ac5d0	/NT30.MAP	68	32	%b	７人委員会のやつら、\n世界をひっくりかえそうと\nしてやがるらしいな。%b
a87c57d3bb	/NT30.MAP	22	10	%b	どうするよ、ミュウ？%b
d6c67ddc4d	/NT30.MAP	35	16	%b	７人委員会の計画を\n阻止しなきゃ！%b
5aab843519	/NT30.MAP	30	14	%b	リグロードが、世界が危ない！%b
34ac51f6b7	/NT30.MAP	39	18	%b	その前に\nポポロンの様子が心配ですわ！%b
d43262820a	/NT30.MAP	40	19	%b	今は時間を浪費している場合じゃないよ！%b
041ccd6c41	/NT30.MAP	96	46	%b	あの街はわたくし達に協力したため\n災難にあっていますのに、\nそれを無視するとおっしゃいますの！？%b
96b3e0e7f8	/NT30.MAP	69	33	%b	ミュウ、焦る気持ちは分かるけど、\nこういう時ほど冷静にならなくちゃ。%b
2eef03e657	/NT30.MAP	76	36	%b	ミュウ、ガルザードが持っていた、\nゲートキーは、\n完全に破壊されてるんだぜ。%b
ca4980687a	/NT30.MAP	34	16	%b	どうやってリグロードに戻るんだ？%b
4fb38f0db5	/NT30.MAP	39	18	%b	それがあれば、\nカオスゲートを使って、%b
7b1abbd753	/NT30.MAP	61	29	%b	ミュウがここに来た時のように\n移動できたかもしれないのにね。%b
25c3423182	/NT30.MAP	71	34	%b	ならばどのみち、リグロードに行くには\n港町ポポロンを経由するしかない。%b
b5b308478e	/NT30.MAP	55	26	%b	どうだろう、とりあえず\nポポロンの様子を探ってみては？%b
7f092bc322	/NT30.MAP	18	8	%b	・・・分かった。%b
1ac3685e37	/NT00.MAP	7	5		dДDd痔
e7022b557e	/NT00.MAP	8	6		M誅匇5md
943ed857b9	/NT00.MAP	43	20	%b	このあたりの道は\n滑りやすいようですわね。%b
e6cac41dfd	/NT00.MAP	28	13	%b	気をつけてまいりましょう。%b
4a6ff154df	/NT00.MAP	14	6	%b	な、何の音？%b
3d5ef66a20	/NT00.MAP	41	19	%b	わたくし達の逃避行が\n露見したのですわ。%b
9bcf34a066	/NT00.MAP	55	26	%b	こうなったら血路を切り開いて\n進むしかありませんわよ。%b
e924928a94	/NT00.MAP	20	9	%b	覚悟はよろしくて？%b
5f9794537b	/NT00.MAP	59	28	%b	今までだって、何度も不利な状況を\nひっくり返してきたんだ。%b
d4aa92c09c	/NT00.MAP	24	11	%b	今度だって、やれるよ！%b
0a753d7c4d	/NT00.MAP	51	24	%b	ラスティ・・・お願い・・・\nボクを、守って・・・。%b
00b4dda9ff	/NT00.MAP	24	11	%b	何かおっしゃいました？%b
7daff87d7f	/NT00.MAP	28	13	%b	あ、ううん、なんでもない。%b
8b6eacbec9	/NT00.MAP	16	7	%b	いきますわよ！%b
4278fe7fbc	/NT00.MAP	28	13	%b	ここから外に出られますわ。%b
ae19f8c262	/NT00.MAP	43	20	%b	今度だって、やれるよ！\n行こう、ラスティ！%b
d72f4a980c	/NT00.MAP	32	15	%b	わたくしは「アンジュ」ですわ。%b
7487cf4ed7	/NT00.MAP	27	12	%b	・・・あ！\n・・・ごめん。%b
39d1752a30	/NT00.MAP	22	10	%b	さぁ、いきますわよ！%b
36fa1f0088	/NT00.MAP	20	10		監禁室に戻りますか？
9d37226027	/NT00.MAP	4	2		戻る
7d2b4c2472	/NT00.MAP	8	4		戻らない
6de00524e1	/NT00.MAP	14	7		外へ出ますか？
c47d650454	/NT00.MAP	37	17	%b	ここを抜ければ、\n外に出られますわ。%b
6dd6fa7ed4	/NT00.MAP	8	3	%b	うん。%b
d931c02536	/NT00.MAP	45	21	%b	追っ手がかかる前に、\nここから逃げだそうよ。%b
7b0dc29eb8	/NT00.MAP	31	14	%b	そうですわね。\n行きましょう！%b
ff170a3fcb	/NT00.MAP	32	15	%b	よし、ここから外にでられるぞ！%b
8480b51208	/NT00.MAP	47	22	%b	追っ手がかかる前に、\n早くここから逃げだそう。%b
cd23fad34c	/NT00.MAP	43	20	%b	ここを抜ければ、\nこの場所を出られますわ。%b
ad3a5e539d	/NT00.MAP	36	17	%b	不潔なベッドはもうこりごりですわ。%b
7f72eaf881	/NT00.MAP	43	20	%b	少しでも早く、\nここから逃げ出しましょう。%b
4e7b34150c	/NT00.MAP	76	25	%H %m1 %V100 %m0 %V0 %b	%H%m1%V100［%m0ガルザード%m1］%V0%m0\n逃げられた・・・か。\nまぁ、よかろう。%b
8a0fd797d6	/NT00.MAP	96	35	%H %m1 %V100 %m0 %V0 %b	%H%m1%V100［%m0ガルザード%m1］%V0%m0\n小娘２人が逃げ出したところで、\n計画全体に影響はあるまい。%b
4b2eded933	/NT00.MAP	94	34	%H %m1 %V100 %m0 %V0 %b	%H%m1%V100［%m0ガルザード%m1］%V0%m0\n７人委員会の意思と、\n魔法球の力は絶対なのだから・・・。%b
59bf24a3cc	/NT10.MAP	11	6		戻りますか?
d98c0a5e1f	/NT10.MAP	15	8		奥へ進みますか?
6f757f76a7	/NT10.MAP	4	2		進む
338229a803	/NT10.MAP	8	4		進まない
6c46e5cdcd	/NT10.MAP	32	15	%b	あそこから奥に行けそうですわ。%b
8bfbc349bb	/NT10.MAP	36	17	%b	だが、両側にいる兵がやっかいだな。%b
b8f2d34576	/WAZAHELP.MSG	26	13		離れた敵を鋭く突く技です。
