key	ko
09af0dbb7b	우박을 사용한 공격 1/4 확률로 동결시킨다
0a16d7da69	운석이 떨어져 폭발해，큰 피해를 준다
0a753d7c4d	러스티・부탁이야・\n날，지켜 줘・%b
0a9ae6ef87	%z난 언제나 뮤와 함께야。\n지금까지도, 앞으로도・
0ab6645ea8	적의 졸음을 유발해，잠들게 해 버린다
0ad0b1a9bc	\rh　　　　　　　　　　　　　　　　　　　［１／５］\n기Ｌｖ　　　－현재 기술의 레벨\n기Ｅｘｐ　　－기술을 쓸 때마다 경험치가 더해\n　　　　　　진다 일정치가 되면 기레벨\n　　　　　　이 올라，기술을 익히거나，쓸 수\n　　　　　　있게 된다
0b2cf74df8	대충，이런 느낌이에요%b
0b3e06467c	회오리 ３개로 단숨에 피해를 주는 기술
0b7e2b3125	리그로드 대륙의 주요 왕가 정도는，\n알고 있어야 마땅하지요%b
0d297e6ddb	영체를 공격하는 충격파를 발생시킨다 대공공격이 가능하다
0d74d434a0	아니오
0dff5b9d05	곰으로 변신할 수 있다
0e45e62ff2	적을 튕겨 날려 버리는 강력한 몸통박치기
0f0a41e6d8	・서로 불쾌한 일이 없도록\n내일 아침까지 얌전히 있어 주게%b
0f266fbdb1	성스러운 힘의 축복을 받은 기적의 검 소유한 이에게 행복을 가져다준다
0f28a52f79	적에게서 아이템을 훔쳐 내는 기술
0fec3190e3	성기사라 불리는 특별한 기사들이 애용한 강력한 검
104fa6044e	저는，알렉트리아 대도서관에서，\n무투사서관을 맡은 앙주라 하옵니다%b
11bf9c6a53	아까부터 있었는데요・%b
122f6cdcef	익시즈호 수리에 필요한 아이템
12633500da	마법사를 위한 모자 마법에 대한 술자의 집중력을 높이는 작용이 있다
127c71d506	맹렬한 눈보라를 일으켜 1/4 확률로 동결시킨다
12ae91f08f	이곳을 나가는 그날에는，\n제 동료들에게도，%b
12b114dbd4	강력한 송곳니 공격
1333f96a90	주먹에 끼는 방어구지만，동시에 무기로서의 효과도 기대할 수 있다
1440ef2d54	번개 정령을 깃들여 적에게 전격을 날리는 술법
14d758dabb	후후후%b
15903ef60e	그럼，뒷일을 부탁하마，\n갈자드%b
15bdd064b8	　그래비티의 장로에게，말라카이트에 관한 정보가 알렉트리아 도서관에 있지 않겠냐는 말을 들었다
15d5e94654	보통 활보다 강력한 화살을 쏘는 활
16761ef43c	암흑의 힘을 막아 내는 성스러운 방패
16e5f0828e	%H%m1%V100［%m0드래군왕%m1］%V0%m0\n
170d30cb81	우리의 목적은，더 나은 시대의 도래를\n더 우수한 자의 손으로\n이루는 데에 있소%b
17556eb274	%z저기, 아버님, 괜찮죠？
17d7db2d1f	블랙워드 어둠과 영혼의 융합에 대해 쓰여 있다
17dc4b8f48	　알렉트리아 대도서관의 관장실에，비밀 입구가 있었다\n　안에 들어가 보니，귀중한 문헌이 보관되어 있어서，우리는 여러 가지를 알 수 있었다\n　앙주에 따르면，거기 숨겨진 문헌은，하나같이，허가 없이 볼 수 없는 중요서류라고 한다
18c350b736	허，그렇구나%b
18ce1b4ff4	상대의 마음을 빼앗아 조종 상태로 만듦
1929417445	암흑의 검이 춤추며，적을 죽음으로 이끈다 1/16 확률로 사망시킨다 대공공격이 가능하다
197fdb745f	여기가 항구도시 오르트마야。\n드디어 도착했네 뮤。%b
1998d29182	내일 아침 해뜨는 대로 공개처형한다\n이는 ７인위원회의 명령이다%b
19e4a8d06e	　７인위원회를 쓰러뜨렸다！・일 텐데，뭔가 이상하다고，내 머릿속 한구석이 걸린다\n　뮤와 함께 세상을 익시즈로 돌아보기로 한다\n　정말로 세상에 평화가 찾아왔는지，이 눈으로 확인해 보자
19f21a497c	날 어떻게 할 셈이야？！%b
1a04546560	어덜트터치로 적 하나에게 큰 피해를 준다:-)
1a5a36dd35	환영을 지우고，진짜 모습을 드러낸다
1a5e91c2a8	충격파 ３개로 베어 가르는 기술 적을 후방으로 날려 버린다
1b0573f3a4	높은 확률로 사수 자신의 목숨을 앗아가 버리는 무서운 활
1b32a6c3d5	%H%m1%V100［%m0성%m1］%V0%m0\n
1b5de4d2ee	　야마타이 최대의 도시，고죠 그곳에서 우리는 함정에 빠져，호쇼인이라는 곳에 갇혔다\n　우리를 도와준 것은，여도적 시라나미 그녀는，아무래도 아스카의 소꿉친구였던 모양이다 시라나미는 이제 고죠를 어지럽히는 대도적이
1b6b306f40	언젠가는 사라져 갈 것・\n빠르냐 늦냐，그 차이일 뿐이오%b
1bb13a3ed2	존명。%b
1c5c1cf3dc	７인위원회님의 목적이란，\n다름아닌，역사 속에 묻혀 있던%b
1d40ecf992	・뮤 왕녀%b
1d502b659c	관통 화살 ３발을 동시에 쏘는 기술
1d82f8694e	아름다운 진주 상점에서 팔 수 있다
1d82fd04b1	　결계동은，야마타이 중앙에 위치한 영봉 후지를 관통하는 지하동굴이다\n　이곳은 예로부터 뒷야마타이 지방과 앞야마타이 지방을 가르는 요충지로，게텐성의 주인을 지키기 위해 한번 봉인되면 특별한 아이템을 세 개 모으지 않으면 봉인을 풀 수 없다
1d91b97def	명상으로 최대 ＭＰ의 １０％를 회복
1d9506cda3	얼어붙는 듯한 물살을 발사해，1/4 확률로 동결시킨다
1da385600f	사서무투술이라니・\n대，대단하네%b
1de61c3c8f	그래！%b
1dfc2f184a	%z・분부대로
1dfcc4cae0	그래요！\n틀림없어요！%b
1e0ed59052	매우，진귀한 보석 어떤 보석보다도 비싸게 팔린다
1e206df6dd	여성의 매력을 강조한 여성전용 드레스 적조차도 공격을 늦추게 될 것
1e64bde942	금속조각을 이어 붙인 장갑
1ee2df128d	아군 캐릭터가 받은 피해를 ２００포인트 회복시킨다
1f1729e6be	지내기는 어떠십니까？\n뮤 왕녀%b
1f37e0c15d	%z아버님!!!
1f796b0e76	%z그 유례없는 마법력으로\n갈자드를 보좌하여，\n리그로드에서의 승리를\n확실히 하도록 하라
207a89f6c8	아군의 ＨＰ를 ３００포인트 회복
2091729e01	거대한 폭발로 충격파를 발생시킴 대공공격 가능
20c212c4db	　７인위원회의 탑에 쳐들어간 우리는 갈자드와 싸워 그를 물리쳤다\n　하지만 ７인위원회는 이미 그들의 야망을 이루기 위해 떠난 뒤였다\n　그들은 세상의 숙정과 지배를 바라고 있었다 그러기 위해 카카루크란으로 가서 카오스의 힘을 이용하려는 것이라고
20f2cd4097	아니오
210bf91543	받아라아아아아아아～ッ！%b
21476f5ebc	%z그리 쉽게 될까？\n드래군 왕국의 용기사는 무패！\n우리 왕국을 더럽히게 둘 수 없다！
21a9cba1ae	전사가 쓰는，지극히 평범한 헬멧
2270e7de9a	상태 종류（２）［４／７］\n동－얼어붙어 있다 녹을 때까지는 움직일 수도\n　　없다\n마－마비되었는다 움직일 수 없다\n란－혼란 상태 적，아군 구분 없이 공\n　　격해 올 것\n조－적에게 조종당하고 있다 아군을 공격해 온다
22e98b10a1	고대마법기술의 부활과\n그것을 이용한 세계정복이 아닌가요？%b
22fb0b31c9	아니오
2326b1dafa	하강하여，저공비행으로 옮겨 감
235124a500	굶주린 사람들의 영혼이 형태를 갖춘 물건 지닌 이에게 불행을 부름
2362cc213b	　팔코，디아네의 도움으로，익시즈호 수복이 끝났다\n　지난번 실수를 되풀이하지 않기 위해，이번엔 아마추어가 아니라，디아네라는 조종 전문가와 팔코라는 고대마법문명 전문가에게 맡기기로 했다
242e6b253b	어덜트터치로 주위 모든 적에게 큰 피해를 준다:-)
2470dc5af8	ＭＰ를 ２００ 회복할 수 있다
24d12c7263	%z네에・
250ce989b7	영적인 힘을 품은 도로，장비하면 행동력이 오른다
25c3423182	그렇다면 리그로드에 가려면\n항구도시 포포론을 거칠 수밖에 없어%b
260504a7a9	전설의 명도 이름의 유래는，칼날에 떠오른 무늬에서
264c2fdf66	７인위원회야말로\n고대마법문명 이상의 지식과\n기술을 가질 자격이 있소%b
26a41352ee	부적의 일종 몸에 지니면 회심의 일격이 조금 더 잘 나온다
26f28e0777	책에서 거대한 낫이 나타나，공격과 함께 저주를 걸어 1/16 확률로 사망시킴
2866c4a332	쏜 화약화살이 떨어진 지점에서 폭발함
286fccc444	%z용기사는・안 물러난다！
28e6e776f5	앙・되・트루아～ッ！%b
28ec22751e	자르마에 들어갈까요？
29280d764a	바꿔 말하면，힘없는 자는\n그것만으로도 악인 것이오・%b
292a4eb544	이름은 특이하지만，공격력은 훌륭한 검
2981ef9fc2	이 목소리를 들은 자는，속삭이는 대로 조종당해 버린다
2a0be827ac	닌자가 사용하기 위해 고안된 도
2a65db2970	고명한 현자가 쓴 책 지혜가 오른다
2add0363ae	누군가 한 명의 ＨＰ를 ５００ 회복할 수 있다
2aed75ee1c	방어력을 높이는 데 중점을 둔 전사용 헬멧
2b003c46a5	3/4 확률로 자신이 받은 피해를 완전히 메울 만큼의 ＨＰ를 상대에게서 빼앗아，흡수하는 술법
2bb7f847b9	상태 종류（１）［３／７］\n비－공중에 떠 있어，이즈나떨구기나 던지기로 공격\n　　받지 않는다 또한，땅 계열 공격기로 피해를\n　　받지 않는다\n투－투명화 상태 타격 계열 공격을 받지 않는다\n수－잠들어 있다 자는 동안은 아무것도 할 수 없\n　　슨다\n공－공포로 이성을 잃었는다 상대에게서 도망치는\n　　것밖에 할 수 없다
2bddfa0144	영적인 힘으로 몸을 지키고 지성을 높이는 작용을 가진다 여성만 사용할 수 있다
2c50070a25	%z그토록 위험해지면 후퇴하라고,\n말하지 않았느냐！\n훈련이었기에 다행이었지・
2cb1aff125	었다\n　그와 동시에 이가 사람들에게 아스카가 배신자인 것처럼 오해하게 만들어 아스카를 고립시켰다\n　하지만 우리의 협력으로 닌자 저택을 공략해 아스카의 부하들을 되찾음으로써 이가 사람들의 오해를 풀 수 있었다
2d448bd1a7	그럼，이 불결한 곳에서\n나가도록 하죠%b
2d750102c1	상급자용 마법책 장비하면 마법에 대한 방어력이 오른다
2e5bbb2cf1	지면을 파 내려，지형을 변화시킨다 변화한 지형은 ４턴 후 원래대로 돌아간다
2ebc8581ae	하늘 높이 날아올라 단숨에 적에게 뛰어드는 다이브공격
2ed54ce893	이제 우리 계획을 실행할 때다\n이로써 세계에 패권을 이루리라！%b
2ee29c64e0	리버스큐어와 마찬가지로，죽은 동료를 되살리는 비법
2eef03e657	뮤，갈자드가 가지고 있던，\n게이트키는，\n완전히 부서져 버렸어%b
2f38109e3e	사거리 ３ 이내 적의 공격에 반격을 한다 받는 피해는 평소의 1/2이 된다
2f78e4047c	지정한 위치에，이동 불가능한 블록을 만들어 낸다
3082ed8b69	정신면에 작용해 영적인 공격에 대한 방어를 높이는 방패
3179a8e644	%H%m1%V100［%m0７인위원회%m1］%V0%m0\n
31b3543d9c	던진 적에게 달려들어，지면에 내리꽂는다
31ec015368	・부숴 버리겠소%b
32490a607c	도착 보고를 해야 하니，\n실례하겠소%b
3253bef85b	함성으로 힘을 북돋아 ＭＰ를 １０포인트 회복시킨다
32e40d0bd7	뭐，그것도，내일까지의 일\n실컷 짖어대는 게 좋을 거요%b
32f8c99db1	공포의 음파를 발해，적을 혼란시키는 기술
3302262620	　새로운 동료가 늘었다 그의 이름은 아스카 이가 최강의 시노비 집단 월조의 두령으로 인술의 달인이다\n　아스카는 그 전투능력을 카달에게 인정받아 협력하라는 명령을 받았다 하지만 그는 따르지 않아 카달은 아스카의 부하들을 붙잡아 닌자 저택에 가두
3331ae7b1e	아군 캐릭터가 받은 피해를 １０００포인트 회복시킨다
335252f3d2	훌륭한 보석 자수정보다 비싸게 팔린다
3375d29a6f	그리고・이제 곧・%b
338229a803	아니오
34278d3c70	번개의 오의서 번개와 물의 융합에 대해 쓰여 있다
3466e8ba8d	　새로 나즈나가 동료가 됐다\n　나즈나는，식신이라고 해서，정령계라는 곳에서 오는 일종의 요정이라나 보다\n　나즈나는，뿌리 없는 자라고 해서，의식도 없이 이쪽으로 온 식신이다\n　본인이 몰래 알려 준 바로는，정령계에 질려서 이쪽
346c2c6e18	적의 마법을，명중률・위력 모두 완전히 봉쇄한다
34ac51f6b7	그 전에\n포포론이 걱정돼요！%b
3525dbb716	말 그대로 주먹을 강철로 바꾸는 최고급 장갑
353b441db7	성스러운 힘이 깃든 아름다운 투구 물론 방어구로서도 일급품
3579c8ff5f	%z이놈！
35b2749bcf	기사의 방어구로 특별히 만들어진 품격 있는 갑옷
35b47a4326	왜 그런 짓을 해！%b
35c3162544	네놈들의 목적이 뭐야！？\n왜 우리나라를 습격한 거야！%b
35efff08ff	황금빛의 아름답고 단단한 갑옷
3640a8dbe3	아군 집단에게 강력해지는 술법을 건다
3685d01e4b	야마타이에서 싸울 땐\n손속을 봐주었지만\n이번엔 전력으로 간다！%b
36c001e60b	용에서 사람으로 돌아옴
36fa1f0088	감금실로 돌아갈까？
37536764df	몸에 지니면，명인 이상으로 공격이 잘 맞게 된다
37bc9adca9	　　　　　　　　　　　　　　　　　　　［５／５］\n　　（원）원형 범위를 공격한다\n　　（전）원형 범위를 공격한다\n　　　　　장애물의 영향을 받지 않는다\n　　（직）직선상을 공격한다\n　　　　　장애물의 영향을 받지 않는다\n　　（자）자기 자신에게 기술을 건다
381b549f4d	그리고，지성과 육체의 조화 속에\n７인위원회가 통치하는 완전한 세상을\n지상에 실현하기 위해서・%b
385680ead3	마법으로 만든 벽 같은데,\n신성마법엔 없는 기술이야。%b
385d957d2c	분명, 카달인지 뭔지 하는 놈들이,\n리그로드 대륙 동서\n통행을 끊으려 만든 거다！%b
38880abfdf	ＨＰ를 ５００ 회복할 수 있다
389013595d	예！%b
39005becb2	　우리는 우선 자르마로 향했다 자르마 사람들은，\n드라군에게 일어난 일을 모르는 눈치다 우리는，사람들에게 진실을 알려 공황이 일어나는 것을 두려워해，드라군이 카달을 자칭하는 군대와 갈자드에 의해 제압당한 것을 말할 수 없었다
39984bb3d5	아이템을 던져 적을 공격한다 피해량은 던지는 물건으로 정해진다
39d1752a30	자，갑니다！%b
3a0de9f8e5	　드라군 상공에 접어든 익시즈호에 갑자기 변화가 일어났다\n　우리를 태운 익시즈호는 추락했고，수리할 방도는 서 있지 않다\n　대체，익시즈호에 무슨 일이 일어난 걸까
3ac541b849	적을 관통하는 거대 철탄을 쏘아 냄
3b0175ffee	리그로드 동쪽에 있는 사람들\n무사할까・？%b
3bc81b3533	정령의 힘으로 모습을 투명하게 함
3c5abfa0b5	튀어 오른 진동으로 넓은 범위에 지진을 일으킴
3cc6b1a046	마법구 힘을 품은 고대마법문명의 유산
3cefdc8bd9	%z갈자드님, 이놈들엔 말 필요없소。\n그저, 힘으로 짓누르면 끝！
3cffd68e57	%z에헤☆
3d1421847a	파라미터 종류（１）［６／７］\n행동력　－이동과 공격기에 쓰이는 값 턴마다\n　　　　　회복된다\n등판　　－비탈을 오르는 능력이나 물 위 등을 비행할\n　／수상　수 있는 능력을 나타낸다\n빠르기　－회피율과 필살률에 영향을 준다\n공격력　－공격기의 피해량\n방어력　－공격기를 받았을 때의 피해를 줄이\n　　　　　는 힘
3d5ef66a20	우리의 도주 행각이\n들통난 모양이에요%b
3d6b8edf80	지정한 지점에 붙잡은 캐릭터를 떨어뜨린다
3d6c3348ea	상대의 힘을 빼앗아 약하게 만듦
3e2359a753	디버그 모드를 쓰다니・%b
3e4d9012aa	　우리는，디아네 씨의 호의에 기대어，곧장，카달을 향하게 됐다\n　뮤・부디 우리가 카달에 도착할 때까지，무사히 있어 줘・
3e59ec8668	재생을 위해선 파괴가 꼭 필요하오%b
3e66f79616	화려한 소리와 빛의 폭발을 일으킨다 폭발력은 약한다
3e66fa081d	어？\n누가 있나・？%b
3f05a4b1a4	　　　　　　　　　　　　　　　　　　　［４／５］\n사거리　　　－기술이나 마법이 닿는 범위\n　　（단）한 명만 공격한다\n　　（술）한 명만 공격한다\n　　　　　장애물의 영향을 받지 않는다\n　　（호）부채꼴 범위를 공격한다\n　　（선）부채꼴 범위를 공격한다\n　　　　　장애물의 영향을 받지 않는다
3f6a400fed	적의 ＭＰ를 빼앗는다
3f7592b3e4	예
3fa081d05b	메긴 화살에 빛이 깃들어，영적인 효력을 발휘함
3fa16fa211	책에서 얼음이 튀어나와，적을 공격함
3fe78320f5	%z네！\n
4029c67839	손에 끼워 손을 보호하는 방어구
4118d81d95	・그런 쓸데없는 호기심은，\n제 몸을 망치는 원인이 되지요%b
41d7ebbb96	도의 스승이 집중력을 높이기 위해 사용한 것 여성만 사용할 수 있다
41e13e18ea	%z자, 빨리, 빨리！
4250ca1e44	듣기
4273a42998	　이 나라의 왕녀 뮤와\n는，어릴 적부터 아는\n사이인데，그녀는 만날\n때마다 예뻐지는 것\n같다\n　그런데 성격은 여전히\n짓궂다 다른 사람에게는，\n그런대로 대하면서，\n어째서 나에게만 그녀는\n짓궂게 구는 걸까 여자\n마음은 모르겠구나
4278fe7fbc	여기서 밖으로 나갈 수 있어%b
42a79f6ee0	카오스게이트를 사용하기 위한 아이템
42ede8cefe	다소의 유혈은 어쩔 수 없지요%b
4310d501f6	격투기의 비법에 대해 쓰인 책 장비하면 방어력이 오른다
432f874712	공격력이 매우 높은 대형 검
43fc905513	형이 정해질 때까지 자신의 행동을\n이 안에서 반성하시오%b
441303b970	낙하지점에서 폭발해，적에게 피해를 준다
44148705ca	파라미터 종류（２）［７／７］\n행운　　－운은 회피율을 올려 준다\n지혜　　－마법공격력에 영향을 준다\n항마력　－마법기를 받았을 때의 피해를 줄이\n　　　　　는 힘\n회피율　－자신과 비슷한 빠르기의\n　　　　　몬스터에 대한 회피율\n필살률　－자신과 비슷한 능력을 가진，\n　　　　　몬스터에 대한 크리티컬률
4462b00a20	입에서 적을 죽음에 이르게 하는 브레스를 내뿜어，1/8 확률로 사망시킴
4550878dc8	카달 병사가 있다！%b
4651171fff	몬스터의 소지품이나 소지금을 조사한다
466be9feef	%z음。 이동 다음은 공격이다。 우리\n드래군 용기사는, 오의「용의 기술」의\n「용변화」로 용이 될 수 있다。
469a6a4db7	이 활에서 쏜 화살은，때로 적을 일격에 쓰러뜨리는 효과를 발한다
46e87a84ba	확실히, 나도 들은 적 있어。%b
472b5a4ab8	낙하지점에서 작렬해，주위에 혼란 가스를 살포한다
474432655c	실행에 옮길 때다\n
475a57ce7d	%z아버님, 슬슬, 실전을 하게 해\n주시지 않겠어요？
4778f49eb2	갈자드・%b
4837e62b83	나가기
48451e2479	관문？%b
48f2e25407	더 먼 거리까지 닿는，관통하는 화살을 쏘아 공격한다
49305b3473	승려를 위한 옷
497b3943fa	트라키아식이라 불리는 전사용 헬멧
498d11c29a	화살 여러 발을 흩뜨려 쏜다 그 탓에 공격력은 있지만，명중률이 낮은 기술
4a3910d51b	돌진하면서 찌르기를 날리는 기술
4a3c2bf393	응・\n가자, 러스티！%b
4a6ff154df	무슨 소리？%b
4a9d9aa046	죽어 버린 동료의 영혼을 불러와 되살릴 수 있는，소생의 마법
4ab3190a38	폭풍을 일으켜，적 집단을 후방으로 날려 버린다
4ad24c8842	공중에 뜬 상태가 되어，이동능력이 오른다 게다가，땅 계열 공격을 받지 않게 된다
4ae3b620c4	다가올 시대를 여는，\n우수한 자를 가리기 위함이오%b
4afaac19c3	마법에 대한 방어력을 높인 법의로，암흑의 힘도 물리친다
4b2eded933	%H%m1%V100［%m0갈자드%m1］%V0%m0\n７인위원회의 뜻과，\n마법구의 힘은 절대적이니・%b
4b514f2555	적을 불태우는 불꽃 ３줄기를 발사한다
4bb7b20254	적에게서，적이 가진 기술을 훔쳐 냄
4bd2025951	좋아요%b
4c117e60e5	적을 향해 용해성이 강한 액체를 뿜는다
4c748673c9	작은 회오리를 일으키는 기술
4d31cbda32	　차원의 길을 돌파했다 카카루크란은 눈앞이다 긴장 탓에 더 이상 쓸 것이 떠오르지 않는다\n　전원 살아서 돌아간다 그것만 가슴에 품고 ７인위원회에 싸움을 건다
4d5aa87163	야마타이에 전해지는 아이템 일정 시간 모습을 숨김
4db366f47c	말 다 했어！%b
4e7b34150c	%H%m1%V100［%m0갈자드%m1］%V0%m0\n놓쳤군・\n뭐，됐다%b
4e8702d7ac	중력으로 적을 짓눌러 1/4 확률로 「무거움」상태로 만들어 상공비행을 막음
4edf11cdcd	상태이상을 회복할 수 있다
4f6920eba5	영적인 힘을 가진 빛의 충격파에 의한 직선공격 대공공격이 가능하다
4f7f5034f1	　이상으로 일기는 끝입니다\n\ncreate: 1 Aug.96\nupdate:20 Aug.96\n\n　마스터업하면 흑맥주에 불꽃놀이다(웃음)
4f93c354e9	고대유적의 문을 여는 열쇠
4fb38f0db5	그게 있으면，\n카오스게이트를 써서，%b
4fea38060f	그 세상에서 뭘 할 셈이야！？%b
50d538068e	형님！%b
514d4ff914	%z형님・아니, 갈자드님과 달리,\n마법력이 넘쳐흐르고 있으니까요。
51b35266c7	전신을 지키기에 적합한 대형 방패
5204eef174	책에서 번개가 튀어나와，적을 공격한다
529292e514	이상에 가까워지려 하기에\n인간은 진보하는 거야！%b
52b6bcab0f	도움은 필요 없어！%b
52e2376789	　그리고 우리가 쿠리카라 마을을 찾은 그날 카달 무리에 의해 마을에 불이 놓였다\n　우리는 결사의 각오로 화약창고로 갔지만 폭발을 막지 못했다\n　쿠리카라 마을은 폭발과 함께 날아갔고 우리는 힘이 부족했음을 후회했다\n　그 다정한 미소가 돌아오는 일은 이제 없다
52ed724b77	%z네！
52eda70e17	낙하지점에서 폭발해 주위에 수면효과가 있는 가스를 살포함
53b0113788	　포포론은 그날 현실적으로도 상징적으로 죽음의 거리가 되었다\n　７인위원회는 포포론에 사는 사람들을 피로 숙정했다\n　우리는 아무것도 할 수 없었다
53b671f0a3	어리석은 인류 숙정하기 위해・%b
54107883e8	국경인가・%b
54c8b45bda	타카오가 아케미에게 보낸，정 넘치는 편지
55184b0751	%z리그로드 대륙, 드래군성。
5555adbc5d	화염을 두른 검으로 적을 공격하는 기술 대공공격 가능
5588e59273	７인위원회는，절대불가침의 금기를\n어기고 알렉트리아 대도서관의\n자치독립을 위협해 왔다・%b
55ba188fde	손가락에 끼면 마법에서 몸을 지키는 데 큰 효과를 발휘
55f9b93de3	떨어진 상대를 번개 칼날로 베는 기술 대공공격 가능
5601b995de	・누구든 상관없다，짓밟아라%b
56ebd18e99	드디어 희망의 별을\n이 손에 넣을 때가 왔다！%b
56facb7230	새에서 사람으로 돌아옴
5746326a2f	계획은 최종단계에 들어섰다%b
57ac65eca9	식신。%b
582a8f77d2	휘몰아치는 플라즈마를 만들어 내，적을 향해 내리친다
588ef37b97	전격을 두른 발톱으로 공격함
59bf24a3cc	돌아갈까?
59f1007480	숙녀의 소양이에요%b
5a2d3b7aed	이 도에 상처 입은 자를 잠재운다
5a694b5414	　장로의 이야기에 따르면，그래비티 근처에 있는 해저신전에 익시즈가 잠들어 있다는 것과，익시즈의 원동력인 갈만오브가 ７인위원회에 의해 도둑맞았기 때문에，익시즈를 움직이려면，어딘가에서 갈만오브를 찾아내는 수밖에 없다는 것이다
5a69c9b85c	패배자 헛소리・란 거요？%b
5aab843519	리그로드가，세상이 위험해！%b
5aac400b4f	저는，이 어둡고 차가운 감옥 안에서\n제가 한 일을 반성했사옵니다%b
5ac7f6b4ee	맹수 가젤의 수염을 시위로 쓴 진귀한 활
5ad0a15b28	아니오
5ade968b0f	사용하는 이의 목숨을 빨아들인다는 강력한 검
5b64188ef2	힘없는 정의에서 태어나는\n이상론에 지나지 않소%b
5b7c2acb7e	몸에 지니면，방어력이 오른다
5bfca94e22	소유자의 운을 높이는 검 무기로서의 효과도 충분하다
5bfdf583d4	%z그날이 왔다\n
5c81a1d5ba	・그 건에 관해서는，\n말씀드릴 수 있는 것이 없소%b
5c83bd5dd9	카오스게이트를 쓸 수 없게 되면，\n그대들의 발도 묶일 것이오%b
5d01c0b326	무두질한 가죽을 써，보통 장갑보다 튼튼하게 만든 장갑
5d15dfd67a	다시 듣기
5d17387335	드라군 왕국을 아시나요？%b
5d754df182	국경 지나갈까요？
5d7b193a8a	상승하여，상공비행으로 옮겨 감
5e14cb8688	심하다，너무해！\n
5edbfd6744	７인위원회는 무슨 꿍꿍이야！\n고대마법문명으로 뭘 하려는 거야！%b
5f0772d2eb	적 집단에게 한 번에 돈 빼앗는 기술
5f9794537b	지금까지도，몇 번이나 불리한 상황을\n뒤집어 왔잖아%b
5fdf991d5f	적 집단 내 비행 캐릭터를 날 수 없게 하거나 아군이 날려가지 않도록 무겁게 만드는 술법
6091750d57	나무 방패
60ee4f9ff0	마법을 쓰는 이의 지성을 한층 높이는 작용을 가진 옷
614de8d27a	흐흐흐，내 패배인가・%b
62611ccd75	바위를 던져，낙하와 동시에 폭쇄시켜，주위를 공격하는 기술
