key	files	bytes	chars	tokens	jp	ko
e6d4b69651	1	274	160	%b	ゴジョウ大橋が何者かにこわされたヨ！\n無茶するやつが多いよネ！\n                            （花組イセ）\n↑それをやったのは、\nきっと、ウチのお頭だろうぜ！\n                            （月組一同）\n↑お兄ぃちゃん。\n無事に帰ってきてね！\n　　　　　　　　　　　　　　　（ヨモギ）%b	
f4720b69e5	1	329	159	%b	ここから南に向かったおぼろ谷に、\nクリカラっちゅう隠れ里があるらしいで。\n　　　　　　　　　　　　　　　（クシロ）\n↑嘘言うなや。\nおぼろ谷は通れへんって聞いたで。\n　　　　　　　　　　　　　　　（イクリ）\n↑おぼろ谷にはミズタマって名の、\n賊が出るって話や。\nおぼろ谷を抜ける前にやられるわ。\n　　　　　　　　　　　　　　（サキクサ）%b	
01a104acfb	1	327	158	%b	お城周辺の草むしりの奉仕作業に\n従事してくれる人を募集します。\n　　　　　　　　　　（ザルマ町内会会長）\n↑ミュウ姫様に感謝してもらえるんなら\n参加してもいいな・・・。\n　　　　　　　　　　　　　　　（シュウ）\n↑お前、目的が不純だぞ！\nその点、俺なんか、\n最初っからミュウ様目当てだもんネ。\n　　　　　　　　　　　　　　　　（ヒロ）%b	
7f06aa8434	1	327	158	%b	忍者屋敷にとらえられていた月組が、\nアスカとリグロードからやって来た連中に\n助け出されたらしい。\n　　　　　　　　　　　　（夜叉組ヤカツ）\n↑イガ最強のシノビ、アスカとその仲間達が\nやってくれたぜ！\n　　　　　　　　　　　　（雷音組ヒデジ）\n↑さすがは親分！\nはやめのおかえり、待ってますぜ！\n　　　　　　　　　　　　　　（月組一同）%b	
c4540c4df0	1	336	156	%b %h	イクシーズの部品は\nどれも特別な鉱石からできている。%b%h中でもとりわけ重要な鉱石が２種類あって、\nマラカイトとアローストーンと呼ばれる。%b%hマラカイトとアローストーンは、\nイクシーズの構造上欠かせない鉱石である。%b%hこの二つの鉱石無くしては、\nイクシーズが空を飛ぶことは\nきわめて難しいであろう。%b%hグラビティ長老著\n「イクシーズ構造論１」%b	
70087ffee5	1	319	154	%b	ヤマタイのどっかには、\n隠し金山があるらしいで。\n　　　　　　　　　　　　　　　（クシロ）\n↑またこんなデタラメ書いてからに。\nそんなんウソに決まってるがな。\n　　　　　　　　　　　　　　　（イクリ）\n↑ほんとかどうかは知らんが、\n場所が分からへんのじゃ、\n何もないのんと同じやんか。\n　　　　　　　　　　　　　　（サキクサ）%b	
92826d9609	1	314	153		　　　　　　　　　　　　　　　　　　　［２／７］\nＨｐ（ヒットポイント）\n　体力値を表わします。\n　０になると、行動不能になり画面から消えますが、\n　ワールドマップにもどると復活します。\nＭｐ（マジックポイント）\n　魔法力を表わします。\n　魔法を使うごとに消費し、魔法の必要Ｍｐに\n　足らなくなると魔法が使えなくなります。	
33ca2c71d7	1	299	146		（決定）　　　　　　　　　　　　　　　［２／７］\n　移動キャラクタの決定、行動の決定に使用します。\n　カーソルが次のポイントにあるときは、\n　特殊な動作をします。\n　　１）プレイヤーキャラクター上\n　　　　　－－－プレイヤーの行動指示\n　　２）モンスターキャラクター上\n　　　　　－－－モンスターの情報表示	
0082ea09df	1	294	143	%b	飛ぶ鳥のアスカの奴、\nリグロードから来た\n美女と一緒だっていうじゃねぇか！\n神様の意地悪ぅぅぅっ！\n　　　　　　　　　　　　　（雪組カトヲ）\n\n↑ひがんでんじゃねぇよっ！\n　　　　　　　　　　　　    （月組一同）\n↑お兄ぃちゃんのばかっ！\nふけつよ。きらいっ！\n　　　　　　　　　　　　　　　（ヨモギ）%b	
3f05a4b1a4	1	293	143		　　　　　　　　　　　　　　　　　　　［４／５］\n射程　　　　－技や魔法が届く範囲です。\n　　（単）一体だけを攻撃します。\n　　（術）一体だけを攻撃します。\n　　　　　障害物の影響を受けません。\n　　（弧）扇の範囲に攻撃します。\n　　（扇）扇の範囲に攻撃します。\n　　　　　障害物の影響を受けません。	
e72d88b684	1	288	140		ステータス種類（３）　　　　　　　　　［５／７］\n大－自分が大きくなっていて、\n　　攻撃力も高くなっています。\n小－自分が小さくなっていて、\n　　攻撃力も低下しています。\n昇－行動力が上昇していて、移動の範囲が広くなっ\n　　ています。\n低－行動力が低下していて、移動の範囲もせまく\n　　なります。	
2270e7de9a	1	278	136		ステータス種類（２）　　　　　　　　　［４／７］\n凍－凍らされています。溶けるまでは動くこともで\n　　きません。\n痺－マヒさせられています。動くことができません。\n乱－混乱させられています。敵、味方の区別なく攻\n　　撃してくるでしょう。\n操－敵に操られています。味方を攻撃してきます。	
5660f5e1fa	1	286	131	%b %h	イクシーズと同型の空中船は\n多数建造されたと推測される。%b%hだが、そのほとんどは、\n古代魔法王国を滅ぼした%b%h謎の大異変によって、\nその民族と共に失われたと考えられる。%b%h現在、確認されている空中船は\nグラビティ沖の海底に沈んでいるもの、\nただ１機のみである。%b%hファルコ著、\n「光翼伝承」%b	
f895b6e4d3	1	270	130	%b	山を登ってったら、\n鳥の化け物に、つかまえられてん。\nほんま、生きた心地がせんかったわ。\nしばらくしたら、放されてんけどな。\n　　　　　　　　　　　　　　　（クシロ）\n↑そら、あぶないわ。\nガケから落とされたら、\n一発であの世行きや。\n　　　　　　　　　　　　　　　（イクリ）%b	
020e85a4db	1	260	129		　クリカラ村では、砲術という、火薬を扱う技術がある。その第一人者がタタラという大男だ。\n　カダール軍は砲術に戦略的価値を見いだし、タタラ達に協力を命じた。\n　しかし、自分達の技術が無益な大量殺人に使われることを嫌ったタタラ達は、カダールの要求に反対し続けていた。	
bd1f9080cd	1	259	129		そこへ突然攻撃をしかけてきたのはカダールっていう聞いたことのない国の軍隊と、それを率いるガルザードという男だった。突然の攻撃にドラグーン王は、ミュウにヤマタイのイガへ行けと命じて、城を脱出させたんだ。\n　こうして、僕とミュウとの旅は戦いともに幕を開けた・・・。	
bd50c2ef13	1	267	129	%b	村一番のイニシエ、タタラが\nカダール討伐のために、リグロードから来た\n竜騎士の娘の仲間になったんだって。\n　　　　　　　　　　　　　　　（アヅサ）\n↑大丈夫かなぁ。\nあいつ、砲術の腕は確かだけど、\n・・・いろいろ苦労すると思うぜ。\n　　　　　　　　　　　　　　　（ツルギ）%b	
6f5f2bb386	1	257	128		　驚いたのは、アレクトリア大図書館の地下閲覧室で見たいくつもの古代魔法文明に関する文献の著者、ファルコの実兄だということだった。\n　僕達は、イクシーズ号の修復に協力を仰ぐためホークアイとともに、カダールに捕らわれているというファルコを助けに行くことになった。	
0ad0b1a9bc	1	259	127		\rh　　　　　　　　　　　　　　　　　　　［１／５］\n技Ｌｖ　　　－現在の技のレベルです。\n技Ｅｘｐ　　－技を使うごとに経験値が加算されて\n　　　　　　　いきます。一定値になると技レベル\n　　　　　　　がＵＰして、技を覚えたり、使える\n　　　　　　　ようになります。	
52e2376789	1	257	127		　そして、僕達がクリカラ村を訪れたその日、カダールの連中によって、村に火が放たれた。\n　僕達は決死の覚悟で火薬倉庫に向ったが、爆発を止められなかった。\n　クリカラ村は爆発とともに吹き飛び、僕達は、力不足を後悔した。\n　あの優しい人達の笑顔が戻ることはもうない。	
d2d09c0855	1	260	126	%b	われらがミュウ姫様が、カダール軍とカダールの指導者を、\nうちやぶったぞ！\n　　　　　　　　　　　　　　（リューシャ）\n↑ミュウ王女様、万歳！\n　　　　　　　　　　　　　　　　（ナナイ）\n↑おまえ、それしか言えないのか！？\n　　　　　　　　　　　　　　（リューシャ）%b	
37bc9adca9	1	254	124		　　　　　　　　　　　　　　　　　　　［５／５］\n　　（円）円の範囲に攻撃します。\n　　（全）円の範囲に攻撃します。\n　　　　　障害物の影響を受けません。\n　　（直）直線上に攻撃します。\n　　　　　障害物の影響を受けません。\n　　（自）自分自身に技をかけます。	
b739aa1baf	1	250	124		　オボロ谷のアヤ姫といえば、リグロードの英雄達が戦ったあの戦いで、ミュウや僕の先祖達を苦しめた相手だ。\n　ここには、そのアヤ姫の血をつぐミズタマという女盗賊がいた。\n　負けず嫌いな性格らしくて今後も僕達に挑んでくるのかもしれないと思うと、うんざりする。	
a16fa4af4e	1	248	123		　僕は、このゲテンという城で起こったことを一生忘れることはできないだろう・・・。\n　僕達はカダールの将軍ガルザードをゲテン城の最奥部に見つけ出した。そこまで追い詰めたと思ったのは、僕達の大きな誤算だった。\n　ガルザードは自分の必要性のために、その場所	
de9b860247	1	240	123	%b %h	警告だっせ！\nここから先、試練の迷宮ですたい。%b%h腕に自信のにゃー方は入るべからずなんだな。\n帰ぇって来れなくにゃってもしらにゃーよ。\n　　　                    　　闘乱自警団%b%h黙って入ったら・・・おしおきだべ～～～。\n・・・ナンチャッテ！%b	
3302262620	1	243	121		　新しい仲間が増えた。彼の名前はアスカ。イガ最強のシノビ集団月組の頭領で忍術の使い手だ。\n　アスカは、その戦闘能力の高さをカダールに見込まれ、協力するよう命令された。しかし、彼は従わなかったため、カダールは、アスカの部下を捕らえて忍者屋敷に閉じ	
81c6530637	1	243	121		　今度こそ、死力を尽くした戦いになるだろう。けれど、それでも、僕達が勝つのだと信じたい。うちひしがれ、恐怖に泣き叫ぶ人の心に、美しいただ一つの真実を、吹き込むために、僕達は戦おう。\n　誇りを奪うことは誰にもできないと、その一言を証明するために。	
5a694b5414	1	240	120		　長老の話によれば、グラビティの近くにある海底神殿にイクシーズが眠るらしいことと、イクシーズの原動力であるガルマンオーブが７人委員会によって盗まれたため、イクシーズを動かすためには、どこかでガルマンオーブを見つけてくるしかないということだ。	
86f4774543	1	242	120		　ラグロスはまぎれもなく悪党だったと思う。けれど、彼にもまた、深い心の傷があったように思えてならない。\n　ラグロスを倒したことで、彼によって失われた僕の家族のふくしゅうをすることはできた。\n　だからといって、失われた命が戻ってくるわけではない。	
b2f305857f	1	242	120		　僕の名前はラスティ。　クィーンズランドの王子で、ドラグーン王国の王女ミュウとはおさななじみ。\n　ドラグーン王家は、竜騎士の長でもあり、僕らリグロード大陸の住民には頼もしい存在だ。\n　僕は戦闘訓練を受けるため、ドラグーンを訪問中だったんだけど、	
20c212c4db	1	240	119		　７人委員会の塔に乗り込んだ僕達は、ガルザードと戦い、彼を打ち破った。\n　だが、７人委員会は、すでに彼らの野望を果たすために旅だっていた。\n　彼らは、世界の粛正と支配を望んでいた。そのために、カカルクランに行き、カオスの力を利用するのだ、と。	
4273a42998	1	248	119		　この国の王女ミュウと\nは、小さいころからの知\n合いなんだけど、彼女は\n会うたびにきれいになっ\nていくように思える。\n　でも性格は相変わらず\n意地悪だ。他の人には、\nそれなりに応じるのに、\nどうして僕にだけ彼女は\n意地悪するんだろう。女\n心はわからないなぁ。	
4c0a88bf1d	1	262	119	%b %h	マラカイトは、\nアレクトリア大図書館の\n地下通路に隠されている。%b%hアローストーンについては、\nここには書かずにおく。%b%hもし、アローストーンについて\n知りたければ、%b%h忘れられた村グラビティに、\nこの長老を訪ねるがよい。%b%hグラビティ長老著\n「イクシーズ構造論２」%b	
8e48881d98	1	246	119	%b	リグロードって大陸からやってきた、\n竜騎士の娘が、この村を訪れているよ。\n　　　　　　　　　　　　　　　（アヅサ）\n↑俺、その娘を見たぜ。\nちょっと気が強そうだったけど、\nアヅサよりも可愛いんじゃないかなァ？\n　　　　　　　　　　　　　　　（ツルギ）%b	
e45e5cb192	1	239	119		　最初のうちは、僕達を裏切り者と呼んでいたザルマの人々は、ドラグーン城を取り返すと、手のひらを返したように親切になった。\n　彼らを責めることは僕にはできない。崩れ落ちたドラグーン城のように、ザルマの人々の心もまた、深く傷ついていたのだから。	
3466e8ba8d	1	239	118		　新しくナズナが仲間になった。\n　ナズナは、式神といって、精霊界とかいうところからやってくる一種の妖精らしい。\n　ナズナは、根無しと言って、儀式もなしにこちら側に来た式神だ。\n　本人がこっそり教えてくれたところでは、精霊界に飽きたのでこちらの	
1d82fd04b1	1	235	117		　結界洞は、ヤマタイ中央に位置する霊峰フジを縦断する地下洞窟だ。\n　ここは昔から裏ヤマタイ地方と表ヤマタイ地方とを分断する要害で、ゲテン城の主を守るために一度封印されてしまうと特別なアイテムを３つ揃えなければ、封印を解くことはできない。	
39005becb2	1	235	117		　僕達はまずザルマへ向った。ザルマの人々は、\nドラグーンに起こったことを知らない様子だ。僕達は、人々に真実を知らせてパニックが起きるのを恐れて、ドラグーンがカダールを名乗る軍隊とガルザードによって制圧されたことを話すことができなかった。	
5b12f70a02	1	253	117	%b %h	魔法球の正体は、\n魔法力の純結晶体であると言われている。%b%h現在の魔法科学では、\n魔法力を異世界よりもれた虚無の異物、\nすなわちカオスの力であると定義している。%b%h魔法球とは、\nカオスの力を結晶化した物と推測される。%b%hファルコ著\n「ガルマンオーブの研究」%b	
d0196a0b61	1	235	117		　彼の村人がカダールによって人質にとられていたのを、協力して助け出したのが、カムイが僕達の仲間になるきっかけだった。\n　仲間の中では一番常識的で、僕達にとっては、年上の兄のような感じられる。時々、彼の話が、お説教っぽく聞こえたとしても。	
17dc4b8f48	1	234	116		　アレクトリア大図書館の館長室に、秘密の入口があった。\n　中に入ってみると、貴重な文献が収納されていて、僕達は色々なことを知ることができた。\n　アンジュによれば、そこに隠された文献は、どれも、許可無く見ることのできない重要書類だそうだ。	
1b5de4d2ee	1	233	116		　ヤマタイ最大の都市、ゴジョウ。そこで僕達はワナにはめられ、ホウショウ院という場所に閉じ込められた。\n　僕達を助けてくれたのは、女盗賊のシラナミ。彼女は、どうやらアスカのおさななじみだったらしい。シラナミは今やゴジョウを騒がす大盗賊に	
8a4013bd15	1	232	115		に移動しただけのことであって、僕達のことを脅威と見なしていなかったのだ。\n　ガルザードは突然消え去り、それを妨害しようとしたミュウもまた、ガルザードとともに消え去ってしまった。\n　いったい、ミュウはどこに行ってしまったのだろう・・・。	
8231c4e4b5	1	230	114		　僕達は死の砂漠と呼ばれる砂漠を通り抜けた。そこは、じっとしているだけで体力を失うような暑い砂漠だった。\n　死の砂漠を通り抜け、古代の遺跡と思われる、巨大な石で作られた四角い建物を見つけた。\n　ここには、何かがありそうな予感がする。	
6768c2b2dd	1	228	113		　新しい仲間がまた増えた。\n　彼の名前は、カムイ。カムイコタンという小さな山あいの村の族長で、精霊の力によって熊や鷹といった獣に変化する力を持っている。\n　ユーカリさんという恋人がいて、カムイは彼女のことをとても大切に思っている。	
6def16f743	1	228	113		　しかし、だからといって、二人が再会できたことに何の感動もないと思い込むのは間違っているんだろう。\n　僕には、兄弟も姉妹もないから分からないけれど。\n　ファルコが僕達の手助けをしてくれることで、イクシーズ号の修復に望みがでてきた。	
407f0b8efb	1	229	111	%b	タタラがついにカダールを倒したんだって！\n　　　　　　　　　　　　　　　（アヅサ）\n↑俺はこういう日が来ると信じてたぜ！\n　　　　　　　　　　　　　　　（ツルギ）\n↑お兄ちゃん、おめでとう！\n　　　　　　　　　　　　　　　（ヒバリ）%b	
d73de6c2ba	1	224	111		　そして、僕達がクリカラ村を訪れたその日、カダールの連中によって、村に火が放たれた。\n　僕達は決死の覚悟で火薬倉庫に向い、大爆発を起こすまえに火を消すことができた。\n　こうして、クリカラでも一番の腕を持つタタラが仲間になった。	
120e8812fb	1	227	110	%b	アスカがカダール軍をやっつけたらしいぜ！\n　　　　　　　　　　　　（夜叉組ヤカツ）\n↑きゃー、アスカ様、すてきっ！\n　　　　　　　　　　（花組クノイチ一同）\n↑うおー、アスカ様、最高っス！\n　　　　　　　　　　　　　　（月組一同）%b	
7a13c92928	1	222	110		　ミュウは、ウソをつくのがつらいらしくて、人々の信頼しきった笑顔や温かい言葉から、顔をそむけていた。\n僕も町の人達を裏切るようでとてもつらかった。\n　またこの町に戻ってきた時、町の人々に、どんな顔をすればいいんだろう・・・。	
ddc4fa2e7b	1	224	110		（水平視点切替）　　　　　　　　　　　［６／７］\n　水平方向からの視点に切替わります。\n　この視点では、バトルに関する操作は出来ません。\n　方向キー（左右）　－－　左右に回転します。\n　方向キー（上下）　－－　上下に移動します。	
4d308a5031	1	227	109	%b	爆弾てのは、離れたところで\n爆発するから便利だよな。\n　　　　　　　　　　　　（夜叉組ヤカツ）\n↑まあな。思ったより\n遠くを攻撃できるだろ。\n同じ射程でも倍ぐらいの\n距離は届くんじゃないか？\n　　　　　　　　　　　　（雷音組ヒデジ）%b	
c64d490935	1	222	109		（特殊機能）　　　　　　　　　　　　　［７／７］\n　他のキャラクタを追いかけたい場合に使用します。\n　未行動キャラクタにカーソルを合わせ、\n　特殊機能ボタンを押すと直前に移動した\n　キャラクタに最も近づくポイントへ移動します。	
1064b01f4a	1	224	108	%b	火薬庫の火事は、\nカダール軍がやったものらしい。\nあやしい人影を見たって人がいるよ。\n　　　　　　　　　　　　　　　（アヅサ）\n↑あ、それって俺も見たぜ。\n許せねぇよな、カダールの奴ら。\n　　　　　　　　　　　　　　　（ツルギ）%b	
62aa28a29f	1	217	108		　古代魔法文明、とりわけイクシーズ号に関して学術的興味を持っているファルコを、彼が閉じ込められてたいた場所から助け出した。\n　さぞや涙涙の感動の再会が待っているかと思いきや、そっけないとさえ感じられるほどの再会だった。	
67d8c17bd7	1	218	108		　港町ヒガタで途方にくれていると懐かしい顔に出会った。\n　リグロードからヤマタイまで僕とミュウを船で運んでくれたディアーネさんだ。\n　ディアーネさんは、ミュウのことを聞くと、カダールまで船で連れていくとを申し出てくれた。	
7800bb733c	1	221	108		　　　　　　　　　　　　　　　　　　　［３／５］\n必要Ｍｐ　　－魔法を使うために必要なＭｐです。\n　　　　　　　残りのＭｐがこれより少ないと魔法\n　　　　　　　を使うことはできません。\nパワー　　　－攻撃力や回復力の値です。\n	
7b5147db87	1	225	108	%b	月組頭領、飛ぶ鳥のアスカが、\nリグロードからやって来た連中と、\nつるんでるらしいぜ。\n　　　　　　　　　　　　　（雪組カトヲ）\n\n↑あたしも、それらしい連中と、\n一緒にいるアスカを見たよ。\n　　　　　　　　　　　　　（花組アオイ）%b	
a74af59f5e	1	218	108		　ドリームラビリンスに閉じ込められていたのは自称天才魔導士キングだった。\n　キングは半人半馬のセントールという種族で、自分でいうだけあって、魔法の腕は立つらしい。\n　でも、性格には、色々と問題がありそうなのだぜ～・・・。	
c0a6632879	1	215	107		世界に来たものの、こちらも大して面白くなかったので、洞窟の中で自分自身を封印して眠っていたのだとか・・・。\n　ともかく、アスカにベッタリで、見ていてとても面白い。でも、それを言うとアスカがとても怒るので内緒にしよう。	
d16f7e2d21	1	216	107		　アレクトリア図書館長の遺書を発見。そこには驚くべき事実がかかれていた。\n　だが、何よりも、魔法球の出現と天変地異に驚かされた。\n　戦いはまだ終っていない。本当の平和を勝ち取るために、もう一度、カカルクランへと旅立つ。	
7a61289853	1	215	105		（上視点切替）　　　　　　　　　　　　［４／７］\n　真上からの視点に切替えます。\n　画面内のキャラクターのＨＰ／ＭＰを表示します。\n（横視点切替）\n　横からの視点に切替えます。\n　グリットが表示され、地形が確認出来ます。	
af061086bd	1	211	105		　真に優秀な人間による新しい理想世界、と彼らは表現したらしいが、何もかもが滅び去り、誰もいない王国を支配して、いったいどんな意味があるというのだろう。\n　彼ら７人委員会の行動は、何がなんでも止めなければならない。	
ea7b098627	1	221	104	%b %h	新しい英雄と新しい伝説が生まれた！%b%hドラグーンのミュウ王女一行が\nたどった足跡をあなたも歩いてみませんか？%b%h信頼と実績で１００年の伝統を誇る\nコルベツアー社を是非ご利用下さい。\n　　　　　　　　　　　（コルベツアー社）%b	
081a097217	1	208	103		　新しい仲間が増えるというのは、頼もしいものだと、僕は思う。\n　オルトマで商売を営む鷹人間のホークアイは、我流で剣の修行を積んだ風変りな男だった。\n　ホークアイの助力によって、大地の叫びを突破することができた。	
856b55e220	1	207	103		　ミュウと再会！　これほど嬉しいことはなかった。会えなくて不安で、つきまとう不吉な考えを何度押し殺しただろう。\n　港町ポポロンはカダールの海の玄関口。ここは常に他の大陸から新しく珍しい文化が押し寄せる場所だ。	
c92c6fa7aa	1	221	103	%b %h	魔法球とは、古代魔法文明の遺産であり、\n現在では別名「ガルマンオーブ」\nと、呼ばれている物である。%b%h古代魔法王国時代の繁栄は、\nこの魔法球の開発および\n利用によるものと言われている。%b%hファルコ著\n「ガルマンオーブの研究」%b	
4c944a3189	1	211	102	%b	イガのシノビとリグロードの竜騎士が、\nカダールをやっつけたんやて！\n　　　　　　　　　　　　　　　（クシロ）\n↑オレらの待ち望んだ平和が、\nついに手に入ったっちゅうワケか！\n　　　　　　　　　　　　　　　（イクリ）%b	
2362cc213b	1	203	101		　ファルコ、ディアーネの助力により、イクシーズ号の修復が終った。\n　前回の過ちを繰り返さないため、今度は素人ではなく、ディアーネという操船の専門家とファルコという古代魔法文明の専門家に任せることになった。	
2cb1aff125	1	204	101		込めた。\n　その一方で、イガの人々にアスカが裏切り者であるかのように誤解させ、アスカを孤立させた。\n　けれど、僕達の協力で忍者屋敷を攻略し、アスカの部下を取り戻したことでイガの人々の誤解をとくことができた。	
0a8e5509de	1	208	100	%b	なんやしらんけどエライことになってるわ。\n俺は逃げるで、トンズラや！\nみんな元気でな！\n　　　　　　　　　　　　　　　（クシロ）\n↑どこに行ったかて同じやで。\nアホやな。\n　　　　　　　　　　　　　　　（イクリ）%b	
19e4a8d06e	1	198	98		　７人委員会を倒した！・・・はずなのに、何かがおかしいと、僕の頭の片隅にひっかかる。\n　ミュウとともに世界をイクシーズで回ってみることにする。\n　本当に世界に平和が訪れたのか、この目で確かめてみよう。	
917e94746a	1	197	98		　だから、人々も、一つの考え方に偏ってしまうことがないようでカダールのやり方に反対する動きもあるようだ。\n　ミュウは、ガルザードによって捕らわれていた牢の中でアンジュという新しい仲間を見つけていた。	
be0cc754b2	1	193	96		　ファルコが言うには、イクシーズをもう一度、空に浮かべるために、特別なアイテムが２つ必要だということだった。\n　ひとつはアローストーンと呼ばれるもの、もう一つはマラカイトと呼ばれるものだそうだ。	
64350e2def	1	191	95		なっている。しかも、盗む相手は悪人で、盗んだ金品を貧しい人に分け与えているので、ゴジョウの住民には大人気だ。\n　シラナミは、僕達の仲間になったんだけど、どうも、動機はあまり純粋ではないようだ。	
b6381db94e	1	190	94		　オボロ谷というのは、不気味なところだ。\n絶えず霧ともモヤとも知れない奇妙な煙が漂い、僕達の侵入を拒むような面がある。\n　オボロ谷には、その変った風景以外にも、もう一つ、楽しくない名物がある。	
